model_id,org,launch_date,evidence_url,evidence_title,evidence_published_date,judge_status,judge_reason,attempt_count,manual_override,manual_notes
google/gemini-2.0-flash-001,google,2025-02-05,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-02-05,accepted,Accepted: date and evidence pass strict checks.,1,,
google/gemini-2.5-flash,google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-06-17,accepted,Accepted: date and evidence pass strict checks.,1,,
google/gemini-2.5-pro,google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-06-17,accepted,Accepted: date and evidence pass strict checks.,1,,
google/gemini-3-flash-preview,google,2025-12-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-12-17,accepted,Accepted: date and evidence pass strict checks.,1,,
google/gemini-3-pro-preview,google,2025-11-18,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-11-18,accepted,Accepted: date and evidence pass strict checks.,1,,
google/gemini-3.1-pro-preview,google,2026-02-19,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2026-02-19,accepted,Accepted: date and evidence pass strict checks.,1,,
google/gemma-3-27b-it,google,2025-03-12,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-03-12,accepted,Accepted: date and evidence pass strict checks.,1,,
minimax/minimax-m2.5,minimax,2026-02-12,https://www.minimaxi.com/news/minimax-m25,MiniMax M2.5: 更快更强更智能，为真实世界生产力而生,2026-02-12,accepted,Accepted: date and evidence pass strict checks.,1,,
mistralai/mistral-large-2512,mistralai,2025-12-02,https://docs.mistral.ai/getting-started/changelog/,Changelog - Mistral AI Documentation,2025-12-02,accepted,Accepted: date and evidence pass strict checks.,1,,
moonshotai/kimi-k2.5,moonshotai,2026-01-27,https://www.kimi.com/ai-models/kimi-k2-5,"Kimi K2.5: AI That Sees, Codes, and Works Like an Expert",2026-01-27,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/chatgpt-4o-latest,openai,2024-08-15,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-08-15,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-4.1,openai,2025-04-14,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-14,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-4o,openai,2024-05-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-05-13,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-4o-2024-08-06,openai,2024-08-06,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-08-06,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-4o-mini,openai,2024-07-18,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-07-18,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-4o-mini-2024-07-18,openai,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,GPT-4o mini: advancing cost-efficient intelligence | OpenAI,2024-07-18,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5,openai,2025-08-07,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-08-07,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5-chat,openai,2025-08-07,https://openai.com/index/introducing-gpt-5-for-developers/,Introducing GPT-5 for developers | OpenAI,2025-08-07,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5-codex,openai,2025-09-15,https://openai.com/index/introducing-upgrades-to-codex/,Introducing upgrades to Codex | OpenAI,2025-09-15,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5.1,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5.1-chat,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5.1-codex,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5.2,openai,2025-12-11,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-12-11,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5.2-codex,openai,2025-12-18,https://openai.com/index/introducing-gpt-5-2-codex/,Introducing GPT-5.2-Codex | OpenAI,2025-12-18,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-5.3-codex,openai,2026-02-05,https://openai.com/index/introducing-gpt-5-3-codex/,Introducing GPT-5.3-Codex | OpenAI,2026-02-05,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/gpt-oss-120b,openai,2025-08-05,https://openai.com/index/introducing-gpt-oss/,Introducing gpt-oss | OpenAI,2025-08-05,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/o3,openai,2025-04-16,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-16,accepted,Accepted: date and evidence pass strict checks.,1,,
openai/o4-mini,openai,2025-04-16,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-16,accepted,Accepted: date and evidence pass strict checks.,1,,
prime-intellect/intellect-3,prime-intellect,2025-11-26,https://www.primeintellect.ai/blog/launching-intellect-3,Introducing INTELLECT-3: The First Global Foundation Model,2025-11-26,accepted,Accepted: date and evidence pass strict checks.,1,,
qwen/qwen3.5-397b-a17b,qwen,2026-02-17,https://www.alibabacloud.com/blog/602894,Qwen3.5: Towards Native Multimodal Agents,2026-02-17,accepted,Accepted: date and evidence pass strict checks.,1,,
x-ai/grok-4.1-fast,x-ai,2025-11-19,https://x.ai/news/grok-4-1-fast,Grok 4.1 Fast,2025-11-19,accepted,Accepted: date and evidence pass strict checks.,1,,
xiaomi/mimo-v2-flash,xiaomi,2025-12-16,https://mimo.xiaomi.com/blog/mimo-v2-flash,Introducing MiMo-V2-Flash | Xiaomi MiMo,2025-12-16,accepted,Accepted: date and evidence pass strict checks.,1,,
z-ai/glm-5,z-ai,2026-02-12,https://docs.z.ai/release-notes/new-released,New Released - Overview - Z.AI DEVELOPER DOCUMENT,2026-02-12,accepted,Accepted: date and evidence pass strict checks.,1,,
